net,length_um
_076_,506.35
_073_,481.46
net45,455.85
_071_,440.6
_146_,433.91
_177_,383.79
_188_,379.17
net46,378.68
_064_,377.68
net64,376.25
_082_,370.96
net43,358.04
net47,346.81
net44,334.41
net38,333.97
net52,324.58
net39,324.07
net61,322.34
net65,317.17
net51,314.18
net48,311.82
_202_,310.06
net67,309.75
net68,308.53
net58,306.15
net66,298.87
net40,297.72
_126_,297.62
net41,287.4
net50,276.39
net53,275.83
_192_,274.4
net63,274.13
net42,273.86
net59,273.28
net37,271.94
net13,269.36
net60,256.92
_068_,253.44
net62,248.74
net49,248.35
_151_,244.13
_137_,232.13
net55,231.08
net20,228.87
net57,224.05
net56,223.78
net10,220.74
net36,219.28
_111_,215.52
net4,208.98
_046_,203.99
_104_,199.58
net6,198.85
_041_,195.49
_036_,191.57
_070_,182.53
_243_,176.96
net28,171.97
_039_,171.41
_251_,171.15
_058_,170.48
_249_,167.88
_043_,165.86
net23,163.57
_038_,163.06
net11,162.45
_045_,161.38
net31,160.77
_110_,159.91
_087_,159.65
_250_,149.25
_035_,147.33
_055_,147.33
_029_,145.89
_057_,145.7
_165_,145.14
net18,145.14
_030_,144.53
_141_,143.51
_018_,143.46
_194_,138.93
_037_,136.93
_042_,136.64
_017_,136.13
net19,134.96
_047_,133.89
net33,132.4
_014_,131.84
_112_,131.6
_160_,131.14
_132_,129.65
_026_,129.41
net2,128.85
clknet_2_3__leaf_wb_clk_i,126.23
net26,126.1
_019_,124.98
clknet_2_0__leaf_wb_clk_i,124.49
net54,124.17
_252_,122.98
_168_,122.18
_002_,122.13
_004_,121.62
_054_,121.2
net30,121.06
_032_,120.4
clknet_0_wb_clk_i,119.96
_069_,117.7
_028_,117.33
_052_,115.36
_053_,115.36
clknet_2_1__leaf_wb_clk_i,114.87
_034_,114.34
_044_,113.22
net3,112.61
_154_,112.05
_024_,111.49
_009_,108.69
_056_,107.81
net24,106.4
_099_,106.18
_060_,105.94
_074_,105.94
_012_,104.45
_109_,101.92
net16,101.46
_011_,99.92
_095_,99.56
_238_,99.32
_048_,96.37
_062_,96
_065_,93.5
clknet_2_2__leaf_wb_clk_i,93.46
_067_,92.96
net22,91.94
net21,90.77
_147_,89.04
_031_,87.97
_023_,87.46
wb_clk_i,86.39
net7,86.24
_006_,84.61
_138_,84.1
_059_,83.49
_142_,80.18
_149_,80.18
_098_,80.05
_049_,79.52
_170_,79.2
_145_,79.01
_105_,78.47
_027_,78.18
_061_,78.18
_184_,77.38
net29,77.06
_016_,76.82
_025_,76.77
_051_,75.65
_097_,75.24
_063_,75.09
_172_,73.19
net32,72.85
_199_,72.39
_013_,71.22
_108_,70.02
_050_,69.59
_007_,66.18
_235_,66.18
_139_,65.88
_240_,64.4
_021_,63.62
_033_,63.33
_197_,61.7
_190_,61.09
_094_,59.97
_156_,59.75
_115_,59.41
_180_,59.28
_234_,59.09
_005_,56.66
net15,56
_233_,54.37
_208_,54.32
_183_,53.81
_118_,53.25
_040_,52.69
_107_,52.69
_072_,51.57
_209_,50.74
_096_,49.99
_136_,49.89
_008_,49.01
_213_,48.4
_236_,47.7
_179_,46.72
_010_,46.53
net1,46.02
_103_,45.14
_210_,43.68
_089_,43.41
_182_,40.88
_225_,40.56
_015_,39.2
_122_,39.2
_239_,38.93
_178_,38.64
_212_,38.08
net9,38.08
_162_,37.81
_196_,37.52
net17,36.96
_148_,36.4
_217_,35.89
_237_,35.89
_001_,35.84
_247_,34.77
net5,33.65
_174_,33.6
io_out[23],32.39
_075_,31.97
_134_,31.92
io_in[20],31.51
_022_,31.41
_084_,29.73
_228_,29.73
_186_,29.68
_127_,29.41
_193_,28.56
_020_,28.1
_245_,27.44
_131_,26.88
_003_,26.37
net27,26.37
_102_,24.74
_078_,24.64
_189_,24.37
io_in[18],24.23
_092_,24.18
_093_,24.18
_000_,24.13
_226_,23.57
_187_,23.52
io_out[30],23.38
